Designator,Mid X,Mid Y,Rotation,Layer
BZ1,136.5,-159.0,0.0,top
C1,110.5,-125.0,180.0,top
C10,110.266389,-149.5,180.0,top
C11,105.403336,-148.096771,180.0,bottom
C12,107.356104,-136.643895,180.0,bottom
C13,107.023825,-152.0,0.0,bottom
C15,126.0,-129.188077,0.0,top
C16,126.0,-128.0,0.0,top
C17,126.010173,-126.764883,0.0,top
C18,126.017991,-125.520912,180.0,top
C19,126.0,-124.30859,180.0,top
C2,133.5,-133.0,180.0,bottom
C20,104.5,-144.5,0.0,bottom
C23,108.6493,-147.166846,270.0,bottom
C24,110.792429,-150.052529,270.0,bottom
C26,136.8,-152.5,0.0,top
C27,136.8,-151.0,0.0,top
C28,111.0,-167.5,270.0,top
C29,106.496042,-165.46142,0.0,top
C3,110.5,-117.0,0.0,top
C30,109.5,-162.0,0.0,top
C31,136.8,-144.5,180.0,top
C32,136.80127,-145.756439,0.0,top
C34,122.0,-101.0,0.0,top
C35,122.0,-99.5,0.0,top
C36,122.0,-96.5,0.0,top
C38,142.497909,-146.534436,0.0,top
C39,124.040337,-147.375994,90.0,bottom
C4,135.277664,-134.683875,180.0,bottom
C40,124.74164,-143.939241,270.0,bottom
C41,134.221776,-110.149625,270.0,top
C42,132.6,-110.575,270.0,top
C43,129.450154,-125.5,0.0,top
C5,113.918574,-171.557405,90.0,top
C51,142.49263,-147.811494,0.0,top
C52,114.781522,-141.783056,180.0,top
C6,112.340993,-171.540034,90.0,top
C7,125.624152,-172.5,90.0,top
C8,115.677706,-161.977426,90.0,top
C9,116.968332,-161.937715,90.0,top
D1,133.496083,-117.723116,180.0,bottom
D2,132.098475,-125.0,90.0,bottom
D3,115.0,-96.5,180.0,top
D4,133.5,-129.5,180.0,bottom
D5,133.264524,-94.0,180.0,top
E22-400M22S1,112.5,-92.11,0.0,bottom
F1,115.193986,-171.527395,270.0,top
F2,134.133457,-125.775481,270.0,bottom
IC1,121.0,-171.0,180.0,top
IC3,109.176652,-153.410902,270.0,top
IC4,107.016042,-167.46142,180.0,top
IC5,142.25,-150.262,0.0,top
IC6,133.0,-120.5,180.0,top
J1,141.037,-121.5,270.0,bottom
J10,99.4175,-121.0,90.0,top
J11,111.5,-91.0,0.0,top
J12,127.5,-91.0,0.0,top
J2,99.354967,-160.08213,90.0,top
J3,116.0,-152.0,180.0,top
J4,141.27,-111.5,0.0,top
J5,98.27,-112.0,0.0,top
J6,135.24164,-144.939241,270.0,bottom
J7,99.35091,-151.0,90.0,top
J8,99.360288,-141.87417,90.0,top
J9,99.4175,-130.25,90.0,top
L1,121.153411,-164.266223,90.0,top
L2,114.5,-141.5,270.0,bottom
Q1,132.36,-171.77,270.0,top
Q2,110.0,-136.0,180.0,top
Q3,109.5,-131.5,180.0,top
Q4,108.693418,-98.464162,90.0,top
Q5,108.740688,-106.596904,270.0,top
Q6,116.5,-136.025,0.0,top
Q8,116.5,-131.475,0.0,top
R1,110.5,-115.5,0.0,top
R10,109.100517,-158.180381,90.0,top
R11,106.44966,-158.200388,90.0,top
R12,119.5,-149.5,0.0,top
R13,119.5,-152.0,0.0,top
R14,119.392303,-146.985833,180.0,top
R15,119.454985,-157.090029,180.0,top
R16,111.548444,-173.517986,180.0,top
R17,110.738181,-171.575593,90.0,top
R18,122.723672,-115.026862,90.0,top
R19,123.930153,-115.016531,270.0,top
R2,133.518233,-119.376956,0.0,bottom
R20,130.5,-166.0,90.0,top
R21,107.770087,-158.190385,90.0,top
R22,121.5,-115.016531,90.0,top
R23,120.243594,-115.0,270.0,top
R24_2,140.75,-147.262,270.0,top
R24,106.49,-169.5,0.0,top
R25,106.758511,-146.173989,0.0,bottom
R26,108.634409,-149.733727,270.0,bottom
R27,110.105274,-146.552367,270.0,bottom
R29,111.249539,-146.556428,90.0,bottom
R3,133.505882,-122.771175,0.0,bottom
R30,110.0,-127.0,90.0,top
R32,124.139883,-141.050174,270.0,top
R35,115.5,-102.0,0.0,top
R36,115.494995,-103.254597,0.0,top
R37,115.51,-104.5,0.0,top
R38,115.5,-106.025,0.0,top
R39,108.729828,-101.540851,90.0,top
R4,133.51,-120.5,180.0,bottom
R40,108.675212,-95.93363,0.0,top
R41,107.740688,-109.596904,90.0,top
R42,108.740688,-103.596904,90.0,top
R43,111.5,-127.0,90.0,top
R44,113.0,-127.0,90.0,top
R45,114.5,-126.99,90.0,top
R48,130.1,-110.34,90.0,top
R5,133.524632,-121.680237,180.0,bottom
R54,136.622216,-125.5,180.0,top
R57,113.0,-132.5,180.0,top
R58,113.0,-130.5,180.0,top
R59,106.5,-130.0,270.0,top
R6,116.51625,-171.510223,90.0,top
R60,119.5,-131.0,90.0,top
R61,106.5,-134.5,270.0,top
R62,113.0,-135.0,180.0,top
R63,113.0,-137.0,180.0,top
R64,119.5,-135.5,90.0,top
R7,125.170658,-161.655132,90.0,top
R8,125.610359,-169.693709,270.0,top
R9_2,111.591323,-158.170378,90.0,top
R9,110.370928,-158.160375,90.0,top
STATUS1,120.0,-141.5,270.0,top
SW1,125.0,-153.5,270.0,top
SW2,133.0,-130.0,180.0,top
TX1,110.313686,-102.997273,90.0,top
TX2,121.0,-131.0,90.0,top
TX3,121.203866,-135.5,90.0,top
TX4,130.1,-113.35,90.0,top
U1,120.3,-121.7,0.0,top
U2,131.1,-102.25,270.0,top
U3,108.0,-141.5,270.0,bottom
U4,135.8,-148.5,0.0,top
Y1,110.5,-121.2,90.0,top
